base_origin,feature,r_mean,r_std,r_full,slope_mean,slope_std,p_value,bootstrap_p,n_samples,mean_pooled_se,p_adj,neg_log10_padj,bootstrap_p_adj,neg_log10_bootstrap_padj
Os_LEA_or6,nardini_Frac Y_zscore,0.06893621378711155,0.036479897889576784,0.05479932383012814,13.677562173674692,4.790712054373725,0.6547178556797775,0.01932367149758454,69,0.0956962425614539,0.8024358189487436,0.09558969361601594,0.08678398895790199,1.0615603917432097
Os_LEA_or6,nardini_Frac K+R_zscore,0.08324331413745827,0.24542718539838065,0.09052464794248204,0.008799660529052762,0.05501442327923849,0.6963611518126014,0.746,21,0.0941254652854416,0.8289895480446193,0.081450945028933,0.8646036866359447,0.06318291698391452
Os_LEA_or6,nardini_Frac D+E_zscore,0.10751455316222708,0.2474899461567975,0.10354977714283917,0.03533451358952879,0.07595100555094642,0.6551117873223542,0.684,21,0.09378279821307942,0.8024358189487436,0.09558969361601594,0.8254976076555025,0.08328418101235605
Os_LEA_or6,nardini_Frac Polar_zscore,-0.24910601550110759,0.09549287306805535,-0.24310060912871345,-0.057036325394788555,0.04271296974697606,0.00947269030904529,0.014,113,0.08271615413927158,0.04963295026510189,1.3042299088491742,0.06612206572769953,1.179653587040591
Os_LEA_or6,nardini_Frac Aliphatic_zscore,0.43664557414897603,0.15849775469882202,0.45469138540366333,0.09011936323735352,0.07413608557425841,0.006066526277129182,0.012,35,0.05719313378166254,0.03527702563463559,1.4525080393259338,0.05888780487804878,1.229974634288221
Os_LEA_or6,nardini_Frac Aromatic_zscore,0.06656352834562447,0.02832099919337148,0.054616275934427014,10.696421530117243,2.907722063840765,0.6174609508245679,0.001,86,0.09305718150457791,0.7801248756453494,0.10783587363912402,0.008902654867256637,2.050480462763511
Os_LEA_or6,nardini_R/K Ratio_zscore,-0.3673299344444422,0.10763160588448323,-0.37814077037073174,-0.06214900616124526,0.017377826891768366,0.002892711092876041,0.004,60,0.07305884712974672,0.01927196926777018,1.7150739055610034,0.026300653594771243,1.5800334587697278
Os_LEA_or6,nardini_E/D Ratio_zscore,-0.08707505683235932,0.13677675179166168,-0.08888347134470938,-0.05419320031345044,0.03756797845097566,0.5108647719536825,0.51,57,0.06965660758446642,0.7139204013808785,0.14635020722680916,0.7145682451253482,0.14595628742445538
Os_LEA_or6,nardini_Frac Chain Expanding_zscore,0.29376835631740794,0.16654141855094765,0.29521278747298824,0.03935486762757791,0.041465483326160714,0.07196108289233276,0.094,38,0.06259054689056867,0.2241264686987206,0.6495068514926273,0.27569679300291544,0.5595682857231633
Os_LEA_or6,nardini_FCR_zscore,0.2682283768653076,0.26011003573919167,0.272129887804359,0.042026769735507244,0.04920881123369926,0.3465936226290497,0.314,14,0.0832318359194169,0.5737229261191609,0.24129779524897882,0.5551564147627417,0.2555846376019476
Os_LEA_or6,nardini_Hydrophobicity_zscore,0.17629156198167525,0.14320985713357637,0.17981677139030408,0.09953165747955603,0.22299217735579735,0.18480181004337493,0.218,56,0.07960152791148675,0.41313471311918926,0.38390831244840334,0.45880334728033473,0.3383734222876055
Os_LEA_or6,nardini_Disorder Promoting_zscore,0.36773951205648453,0.11174923896338308,0.3722217486617629,0.051295584431117786,0.01903073271400704,0.001924109817018631,0.001,67,0.06895587239511529,0.014940794922186756,1.8256262953495939,0.008902654867256637,2.050480462763511
Os_LEA_or6,nardini_Iso point_zscore,-0.0316166368897652,0.12892748708745128,-0.03162223209563505,-0.05288450231754506,0.1265315682819833,0.7395158255414669,0.808,113,0.08271615413927158,0.8590680375227664,0.06597243902025145,0.9051759465478842,0.04326699517280959
Os_LEA_or6,nardini_PPII_zscore,0.29714531314129977,0.1019586290185757,0.2950705437490237,0.1308289927790315,0.051700162223468064,0.0015101776210284714,0.006,113,0.08271615413927158,0.012251924893182598,1.9117956741717275,0.034101694915254235,1.4672240352582544
Os_LEA_or6,nardini_A Patch_zscore,0.37601277494033014,0.11075371708148035,0.3844809186050191,0.023191931661353502,0.007388340798644213,0.002884014661913264,0.008,58,0.07388816381909316,0.01927196926777018,1.7150739055610034,0.04421978021978022,1.3543834202732226
Os_LEA_or6,cider_kappa,0.0022506811836679585,0.1330299948781713,-0.0038936870751273053,0.007136348990496029,0.17945103055217315,0.9748604294180646,0.986,68,0.09987195113069677,0.9920015720020221,0.003487639628822553,0.9949007021063189,0.002220262650535955
Os_LEA_or6,cider_omega,-0.04046696225596571,0.11670918405513846,-0.04350239443009071,-0.036465809954338,0.14628927761106927,0.6979663490991974,0.7,82,0.08388933382976524,0.8289895480446193,0.081450945028933,0.8333727810650887,0.07916068821552694
Os_LEA_or6,cider_delta,0.051436350002050345,0.1291555573621131,0.05678995103762095,0.3836812644452398,0.6883029858088721,0.6480545175108692,0.668,67,0.09522527306875639,0.8017263703271368,0.0959738313842605,0.8175279805352799,0.0874973743445961
Os_LEA_or6,cider_mean_net_charge,-0.16671466702318372,0.3531593134285187,-0.1904835969232314,-0.09500965014134768,0.8285846773988931,0.5531822846973248,0.628,12,0.10276080341570216,0.7411648193603689,0.13008520338480745,0.7926825595984944,0.10090069693900759
Os_LEA_or6,cider_fraction_neutral,0.09838960809796206,0.29239642294624024,0.10840946749929749,0.053608211259659276,0.36482992837257894,0.7122001472444883,0.706,14,0.08483410972550029,0.838961765957793,0.0762578308422318,0.8375424528301887,0.07699317048500147
Os_LEA_or6,sparrow_SCD,-0.08213525206621165,0.100882467558059,-0.07922353987116919,-0.005021830250257307,0.00599419108528533,0.4042211322883832,0.414,113,0.08271615413927158,0.6280402800539543,0.20201250141539664,0.6369802130898021,0.19587405821312945
Os_LEA_or6,sparrow_SHD,0.14848999175467484,0.32047191098667666,0.14725274725274726,0.06364635458091539,0.5301495985774992,0.6154187624847252,0.684,14,0.06110621605871721,0.7801248756453494,0.10783587363912402,0.8254976076555025,0.08328418101235605
Os_LEA_or6,sparrow_complexity,-0.290012053898438,0.17236976310210259,-0.29337418657469905,-1.5079437146845407,0.9302410291662357,0.07383493373469574,0.102,38,0.05408712714327707,0.22686471389353527,0.6442330482007417,0.29097652893686893,0.5361420411319786
Os_LEA_or6,sparrow_scaled_rg,-0.13023001897996767,0.25178668544332083,-0.12337662337662336,-0.007442077279643482,0.019218937674270638,0.5941682580055345,0.6,21,0.07156511644436796,0.7732642529800359,0.11167206623777111,0.7738461538461539,0.11134537158692817
Os_LEA_or6,sparrow_scaled_re,-0.05650588831363828,0.2735462359730637,-0.03308270676691729,-0.0009614399769844703,0.00492315827082432,0.889875964885619,0.804,20,0.07486061363866647,0.9574494338769334,0.018884153305151776,0.903713966480447,0.04396900584755209
Os_LEA_or6,sparrow_prefactor,0.055277697680577845,0.33735569176505986,0.054945054945054944,0.0035043527309230223,0.017595933519341314,0.8520077036323677,0.864,14,0.08197625666615878,0.9316519020153933,0.030746325063286246,0.9366206896551724,0.028436253020060177
Os_LEA_or6,sparrow_scaling_exponent,-0.07364354897919766,0.34362543387096073,-0.054945054945054944,-0.17991080372202706,0.4370268182109598,0.8585042942308735,0.804,13,0.07798525460420842,0.9346919047578558,0.029331518660679085,0.903713966480447,0.04396900584755209
Os_LEA_or6,sparrow_asphericity,-0.24777428323638623,0.32417137803180307,-0.26593406593406593,-1.007412098341339,1.4102275812089928,0.3581134003647861,0.416,14,0.07972394664812207,0.5886635306649916,0.23013286909960276,0.6369802130898021,0.19587405821312945
Os_LEA_or6,mpipi_epsilon_self,0.11020851624027055,0.1209002259164126,0.11133036163980693,9.271999010269943e-05,0.006613500739693138,0.28804622994148155,0.366,93,0.08531235913388303,0.5239459375321136,0.28071352263986377,0.6055855263157895,0.21782451315841564
Os_LEA_or6,calvados_epsilon_self,0.18512868604908062,0.11273515546395496,0.18758644692355889,0.002405887849808806,0.0016922075787281696,0.06163572732709032,0.106,100,0.08451751760058372,0.1993747321255719,0.7003298831045198,0.2962111111111111,0.5283986547826085
Os_LEA_or6,avg_helix_prob,-0.34418558368185054,0.09355837073603648,-0.34487984887756445,-0.5809718972468562,0.17401210227639177,0.0003603494638354462,0.002,103,0.08286296319123648,0.004027906229093987,2.394920648510941,0.014794117647058824,1.8299109319863278
Os_LEA_or6,avg_beta_prob,-0.12587130423850124,0.09964293295838568,-0.12613890963405527,-0.6343890759838016,0.9857027260628084,0.2019819373390361,0.224,104,0.08388617511936966,0.4358508429343833,0.3606621097531186,0.4627186858316222,0.3346829621605629
Os_LEA_or6,avg_coil_prob,0.34112208329928745,0.09192173977889392,0.346757896586566,0.551293921460576,0.15787840598089983,0.0003328889461034401,0.002,103,0.08286296319123648,0.003762767188540008,2.4244926516934906,0.014794117647058824,1.8299109319863278
Os_LEA_or6,avg_mito_targeting,-0.3255455177302612,0.5268368004312404,-0.34786262139146906,-1.302937733040007,2.6415955968672367,0.4992532181146331,0.46646646646646645,6,0.09848536266043778,0.7044059503321226,0.1521769840711838,0.6803583815028902,0.16726226066272518
Os_LEA_or6,avg_nes,-0.10150024466063019,0.0975646448992009,-0.10090290661719231,-3.443817977475375,1.9903752242193162,0.32033989691326437,0.28,99,0.07938177476762219,0.55087510477734,0.2589468538785007,0.5206654343807764,0.28344125304444157
Os_LEA_or6,avg_nis,0.05350680366833362,0.10280570004975147,0.052648213453988964,-0.27013139053075885,0.9008218978821173,0.5797021365144952,0.586,113,0.08271615413927158,0.7593494131947685,0.11955833832888436,0.7616485788113694,0.11824536394489342
syn_LEA_1,nardini_Frac A_raw,0.3756167733824734,0.12499634884665671,0.3835959001256568,0.7096890189769901,0.3967086696596331,0.002708192769969057,0.006,59,0.12384435645655678,0.018919735601311608,1.7230849370512307,0.034101694915254235,1.4672240352582544
syn_LEA_1,nardini_Frac C_raw,0.21621982001463952,0.2695748421104229,0.2180404900137613,4.086152427365124,3.5342691349038735,0.4349967644380428,0.434,15,0.18075190442407413,0.6518082270139731,0.18588016224426768,0.6516477611940299,0.1859870924684071
syn_LEA_1,nardini_Frac D_raw,0.07176114791803999,0.1304831539900489,0.07351406016613238,1.7602823571694086,1.542636354350103,0.5868138101002742,0.58,57,0.11794371736431349,0.7656740505329129,0.11595607133538512,0.7597395833333334,0.11933524574866611
