base_origin,feature,r_mean,r_std,slope_mean,slope_std,p_value,bootstrap_p,n_samples,mean_calculated_std,p_adj,neg_log10_padj,bootstrap_p_adj,neg_log10_bootstrap_padj
Os_LEA_or6,sparrow_complexity,-0.2825601601495812,0.17657745627155413,-2.2791119921377425,1.2834899633471941,0.08678056142194547,0.12,37,0.15201350102702707,0.25899833192184346,0.5867030329823452,0.3267796610169491,0.4857449820753323
Os_LEA_or6,sparrow_scaled_rg,-0.08857885538613756,0.24607555311837861,-0.0012877424424333642,0.01930159909600887,0.7431490742332265,0.666,20,0.2378798413,0.8673071520106905,0.061827072304513495,0.8203210191082803,0.0860161603668761
Os_LEA_or6,sparrow_scaled_re,0.0015691157578226482,0.2760181256744665,0.0008359125813405068,0.004962130223494476,0.9148378965354744,0.986,19,0.22686347926315792,0.952306455092512,0.02122327184801805,0.9890780437044745,0.004769438824503378
Os_LEA_or6,sparrow_prefactor,-0.06502482598369258,0.34346467033566536,-0.0011130687839185074,0.020721546775497545,0.8585042942308735,0.824,13,0.2065067659230769,0.9303600214211303,0.031348959983428216,0.9036814562002276,0.04398462947382532
Os_LEA_or6,sparrow_scaling_exponent,-0.10767902760560125,0.36687486596516466,-0.1066499684415983,0.4099105486115535,0.762121655996299,0.742,12,0.21889355741666663,0.8798626064436313,0.05558513912473741,0.8680679611650486,0.06144627251525792
Os_LEA_or6,sparrow_asphericity,-0.140448481978843,0.35680002666614946,-0.4546329191183989,1.5244986982852802,0.6030877531318972,0.65,13,0.20389390707692306,0.7741366098790265,0.11118239373375242,0.811003870967742,0.0909770728715593
Os_LEA_or6,avg_helix_prob,-0.36286061926023655,0.09184652844988976,-0.7025872361540602,0.20810085747079488,0.0001595714875245889,0.001,102,0.17290353629411767,0.002032577185285384,2.6919529534795026,0.008844036697247707,2.053349464037793
Os_LEA_or6,avg_beta_prob,-0.1480869551703497,0.09892704905801761,-1.2958996572152215,0.9309058442280093,0.13944400319707603,0.144,103,0.18047503253398062,0.3455630310590779,0.461472725295666,0.3596269430051813,0.4441477786736746
Os_LEA_or6,avg_coil_prob,0.37287110411544505,0.09169976923629945,0.7029952632990971,0.2008601434010302,0.0001176395381283504,0.001,102,0.17290353629411767,0.0017349724933663309,2.7607074062183035,0.008844036697247707,2.053349464037793
Os_LEA_or6,avg_nes,-0.10884184089627254,0.10278293201941693,-4.144062491618313,2.61636126462202,0.26632802137611317,0.288,98,0.17496987460204083,0.48680118229635577,0.31264837566760995,0.5199101123595505,0.2840717353664948
Os_LEA_or6,avg_nis,0.05095154527622714,0.10625474078113537,-0.37936495608599774,0.9169381059441274,0.5573139971484773,0.618,112,0.1760125498839286,0.7439274747276082,0.1284694016327247,0.7880317460317461,0.10345628650955989
syn_LEA_1,nardini_Frac A_raw,0.40360958088774884,0.12386074318409769,1.3358095239946501,0.32180978718678593,0.0013001010071219928,0.004,58,0.29221182439655174,0.011091127175801779,1.95502431486481,0.0241,1.6179829574251317
syn_LEA_1,nardini_Frac C_raw,0.08369856278761045,0.2712852950251132,1.773179076822396,2.355610885241751,0.7730632503572146,0.774,14,0.4949752377857143,0.884229207062412,0.05343514396922541,0.8887943262411347,0.05119872644571236
syn_LEA_1,nardini_Frac D_raw,0.04281771308513134,0.12973163530361523,0.5692464852397198,1.1036719571977247,0.7255543010916171,0.766,56,0.28203847558928574,0.8594549310078848,0.06577689236584314,0.884340119760479,0.053380671948167396
